treated_club,treated_season,treated_tier,treated_ps,control_club,control_season,control_ps,ps_dist
284,2020/2021,3,0.5725910713232412,98,2019/2020,0.5683998318402962,0.01710508858215881
284,2023/2024,3,0.2721580192675424,404,2024/2025,0.2720502263335683,0.0005442343076849099
228,2019/2020,1,0.4303280269253783,240,2019/2020,0.4281926258519912,0.008716083276707642
285,2019/2020,3,0.1409468685157443,79,2020/2021,0.14130137673029686,0.0029247910144238887
285,2022/2023,3,0.4523166365646721,70,2021/2022,0.44867969858325724,0.014691824489697691
285,2022/2023,3,0.4523166365646721,378,2020/2021,0.4562738282145557,0.015962228355874936
285,2024/2025,3,0.18942425742381552,71,2021/2022,0.1899095538493878,0.003157563927721707
285,2024/2025,3,0.18942425742381552,359,2023/2024,0.18868386770347334,0.004829285925797455
216,2022/2023,1,0.3094579385453547,140,2021/2022,0.31033493361469044,0.004100780442818253
507,2024/2025,3,0.418748123489871,504,2024/2025,0.418796919277943,0.00020047398415612427
507,2024/2025,3,0.418748123489871,208,2021/2022,0.41934550560820993,0.0024538533028826137
291,2019/2020,3,0.30366543717225175,72,2023/2024,0.3047636287102091,0.005188276794796942
291,2019/2020,3,0.30366543717225175,476,2024/2025,0.30232736441739866,0.006335892057122816
291,2021/2022,3,0.4836036337807338,206,2020/2021,0.4897106162275924,0.02444564299309525
291,2021/2022,3,0.4836036337807338,99,2023/2024,0.4760290642877606,0.03034831530320921
291,2021/2022,3,0.4836036337807338,203,2023/2024,0.47593861321858405,0.030710956230921155
56,2021/2022,2,0.38236234530187985,92,2024/2025,0.38402457226298553,0.007032727420348717
472,2024/2025,1,0.23494703132302885,51,2019/2020,0.23512315639724907,0.0009795959484042438
472,2024/2025,1,0.23494703132302885,39,2022/2023,0.23475584541258251,0.0010639394481417597
234,2019/2020,1,0.28910506552451015,283,2023/2024,0.28954279680206735,0.00212888201797079
234,2021/2022,1,0.5040948365214707,331,2024/2025,0.5044995519134889,0.0016189812384866144
323,2021/2022,2,0.10638799669279335,263,2022/2023,0.10639050360687625,2.6368979193502895e-05
323,2024/2025,2,0.3088785175555676,309,2020/2021,0.30859102688010176,0.0013470804373588718
323,2024/2025,2,0.3088785175555676,423,2021/2022,0.31004223700573336,0.005445716446434989
