treated_club,treated_season,control_club,control_season,tier,hire_type,firing_mw,t_pre,t_post,c_pre,c_post,t_diff,c_diff,did
208,2020/2021,296,2023/2024,3,Permanent,21.0,0.375,-0.16666666666666666,-1.375,-1.4,-0.5416666666666666,-0.02499999999999991,-0.5166666666666667
380,2020/2021,13,2022/2023,2,Interim,13.0,-1.5,0.09090909090909091,-1.375,-1.8333333333333333,1.5909090909090908,-0.45833333333333326,2.049242424242424
150,2019/2020,277,2022/2023,1,Permanent,12.0,-1.375,-0.25,-0.75,-0.9075000000000002,1.125,-0.1575000000000002,1.2825000000000002
241,2021/2022,283,2024/2025,1,Permanent,14.0,-0.75,0.4166666666666667,-0.76875,-0.7408333333333333,1.1666666666666667,0.0279166666666667,1.13875
241,2022/2023,273,2023/2024,1,Permanent,22.0,-1.5,-1.3333333333333333,-0.4225,-0.2758333333333333,0.16666666666666674,0.14666666666666667,0.020000000000000073
447,2024/2025,199,2020/2021,1,Permanent,6.0,-0.852,-0.44333333333333336,0.2,-2.25,0.4086666666666666,-2.45,2.8586666666666667
167,2020/2021,68,2021/2022,3,Permanent,10.0,0.5625,0.9166666666666666,1.0833333333333333,1.3333333333333333,0.35416666666666663,0.25,0.10416666666666663
167,2020/2021,106,2022/2023,3,Permanent,10.0,0.5625,0.9166666666666666,0.0,0.5833333333333334,0.35416666666666663,0.5833333333333334,-0.22916666666666674
167,2021/2022,76,2021/2022,3,Permanent,7.0,0.75,1.1333333333333333,0.36363636363636365,1.1666666666666667,0.3833333333333333,0.8030303030303031,-0.4196969696969698
167,2023/2024,293,2023/2024,3,,10.0,0.648125,0.3933333333333333,0.8125,2.6666666666666665,-0.25479166666666664,1.8541666666666665,-2.1089583333333333
167,2023/2024,105,2024/2025,3,,10.0,0.648125,0.3933333333333333,0.04749999999999993,-0.08333333333333337,-0.25479166666666664,-0.1308333333333333,-0.12395833333333334
181,2022/2023,219,2023/2024,1,Interim,21.0,-1.5,0.0,-0.6587500000000001,-0.5983333333333333,1.5,0.060416666666666785,1.4395833333333332
181,2022/2023,378,2023/2024,3,Interim,21.0,-1.5,0.0,-1.375,-0.2,1.5,1.175,0.32499999999999996
181,2022/2023,69,2019/2020,3,Interim,21.0,-1.5,0.0,-1.25,-1.1111111111111112,1.5,0.13888888888888884,1.3611111111111112
172,2019/2020,403,2023/2024,3,Interim,10.0,0.4,0.4166666666666667,-0.5399999999999999,-0.008333333333333304,0.016666666666666663,0.5316666666666666,-0.5149999999999999
172,2019/2020,66,2020/2021,3,Interim,10.0,0.4,0.4166666666666667,0.5,0.4166666666666667,0.016666666666666663,-0.08333333333333331,0.09999999999999998
172,2020/2021,171,2024/2025,3,Permanent,22.0,0.125,0.625,-0.08875,-0.08874999999999997,0.5,2.7755575615628914e-17,0.5
172,2020/2021,107,2023/2024,3,Permanent,22.0,0.125,0.625,0.5812499999999999,0.20500000000000004,0.5,-0.37624999999999986,0.8762499999999999
273,2020/2021,155,2024/2025,1,Permanent,23.0,-1.25,0.16666666666666666,-1.6653345369377348e-16,0.19333333333333327,1.4166666666666667,0.19333333333333344,1.2233333333333334
446,2023/2024,271,2020/2021,1,Permanent,21.0,-0.69125,-0.2725,-0.5,-0.16666666666666666,0.41875,0.33333333333333337,0.08541666666666664
305,2020/2021,15,2019/2020,2,Interim,19.0,-0.75,0.0,-0.875,0.8181818181818182,0.75,1.6931818181818183,-0.9431818181818183
147,2023/2024,143,2024/2025,1,,28.0,-0.50625,0.32500000000000007,0.16999999999999998,-0.71,0.83125,-0.8799999999999999,1.71125
20,2019/2020,279,2019/2020,1,Permanent,10.0,-1.375,-0.75,-1.0,-1.0,0.625,0.0,0.625
20,2024/2025,281,2020/2021,1,Permanent,17.0,-0.3212499999999999,0.0425,-0.25,0.0,0.3637499999999999,0.25,0.1137499999999999
21,2022/2023,183,2022/2023,1,Interim,18.0,0.625,-0.08333333333333333,0.75,0.8408333333333334,-0.7083333333333334,0.09083333333333343,-0.7991666666666668
21,2024/2025,241,2024/2025,1,,10.0,1.19875,1.0766666666666667,0.5375,0.04750000000000002,-0.12208333333333332,-0.48999999999999994,0.3679166666666666
220,2022/2023,365,2023/2024,1,Permanent,28.0,-0.86875,0.59,-0.425,-0.11800000000000004,1.45875,0.30699999999999994,1.15175
220,2023/2024,355,2023/2024,1,,25.0,-0.7412499999999999,0.36166666666666664,-0.48625,0.23916666666666664,1.1029166666666665,0.7254166666666666,0.37749999999999995
220,2023/2024,159,2024/2025,1,,25.0,-0.7412499999999999,0.36166666666666664,-0.5449999999999999,-0.1358333333333334,1.1029166666666665,0.40916666666666657,0.69375
212,2021/2022,165,2020/2021,3,Permanent,12.0,-0.375,-0.25,-0.5,-0.75,0.125,-0.25,0.375
